pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,prev_PRs,additions,deletions,changed_files,commits,comments,review_comments,title_length,description_length,has_description,title_words,body_words,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,assignees_count,file_types_count,file_types,language_types,directories_count,directories,total_changes,test_files_count,test_changes,doc_files_count,config_files_count,files_added,files_deleted,files_modified,files_changed,change_num,segs_added,segs_deleted,segs_changed,is_core_member,lines_added,lines_deleted,first_review_at,review_count,approval_count,change_request_count,reviewer_count,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,label_count,milestone,time_to_close_days,response_time_days
14016,fix a pir while bug,closed,True,2024-10-16T08:09:13Z,2024-10-16T08:25:00Z,2024-11-11T02:02:14Z,wanghuancoder,True,6,4,4,1,1,0,0,19,44,1,5,3,0,1,0,0,0,0,0,1,1,1,1,1,8,0,0,0,0,0,0,1,1,1,0,0,1,0,4,4,2024-10-16T08:24:52Z,1,1,0,1,True,0,0,,unknown,,0,,0.010960648148148148,0.010868055555555556
14028,update docs for release,closed,True,2024-10-17T07:04:20Z,2024-10-17T11:32:54Z,2024-11-11T02:02:14Z,cuicheng01,True,47,22,18,2,2,0,0,23,0,0,4,0,0,0,0,0,1,0,0,1,1,1,1,1,40,0,0,2,0,0,0,2,2,2,0,0,2,0,22,18,2024-10-17T08:37:31Z,2,1,0,1,False,0,0,,unknown,,0,,0.18650462962962963,0.06471064814814814
14030,【WIP】separation parameter,closed,False,2024-10-17T14:15:35Z,2025-08-19T02:23:48Z,2025-08-19T02:23:48Z,zhangyubo0722,True,69,11,3,1,1,0,0,25,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,14,0,0,0,0,0,0,1,1,1,0,0,1,0,11,3,,0,0,0,0,True,0,0,False,dirty,False,0,,305.50570601851854,
14031,update docs,closed,True,2024-10-17T14:33:57Z,2024-10-17T15:28:32Z,2024-11-11T02:02:13Z,cuicheng01,True,47,8,9,5,1,0,0,11,0,0,2,0,0,0,0,0,1,0,0,1,1,1,3,3,17,0,0,5,0,0,0,5,5,1,0,0,5,0,8,9,2024-10-17T15:28:25Z,1,1,0,1,False,0,0,,unknown,,0,,0.037905092592592594,0.03782407407407407
14032,[cherry-pick]update docs,closed,True,2024-10-17T14:40:07Z,2024-10-17T15:29:25Z,2024-11-11T02:02:13Z,cuicheng01,True,47,8,9,5,1,0,0,24,0,0,4,0,0,0,0,0,1,0,0,1,1,1,3,3,17,0,0,5,0,0,0,5,5,1,0,0,5,0,8,9,2024-10-17T15:29:18Z,1,1,0,1,False,0,0,,unknown,,0,,0.03423611111111111,0.03415509259259259
14036,updata en docs,closed,True,2024-10-18T02:25:43Z,2024-10-18T09:10:41Z,2024-11-11T02:02:12Z,dyning,True,29,274,8,8,4,0,12,14,0,0,3,0,0,0,0,0,1,0,0,2,2,2,3,3,282,0,0,7,1,2,0,6,8,4,2,0,6,1,274,8,2024-10-18T03:19:59Z,2,1,0,1,True,0,0,,unknown,,0,,0.28122685185185187,0.03768518518518518
14037,fix gpu memory growth,closed,True,2024-10-18T04:26:32Z,2024-10-18T09:07:00Z,2024-11-11T02:02:12Z,zhangyubo0722,True,69,4,0,1,1,0,0,21,0,0,4,0,0,1,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,0,1,0,4,0,2024-10-18T09:06:11Z,1,1,0,1,True,0,0,,unknown,,0,,0.1947685185185185,0.19420138888888888
14038,update paddle2onnx doc,closed,True,2024-10-18T06:12:56Z,2024-10-18T06:24:17Z,2024-11-13T06:56:07Z,inisis,True,2,14,0,2,1,1,0,22,0,0,3,0,0,0,0,0,1,0,0,1,1,1,1,1,14,0,0,2,0,0,0,2,2,1,0,0,2,0,14,0,2024-10-18T06:24:07Z,1,1,0,1,True,0,0,,unknown,,1,,0.007881944444444445,0.007766203703703704
14042,update a live promotion,closed,True,2024-10-18T07:29:02Z,2024-10-18T10:19:57Z,2024-11-13T06:56:06Z,Zhiiixin,True,2,1,1,1,2,0,0,23,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,0,1,1,2,0,0,1,0,1,1,2024-10-18T10:19:51Z,1,1,0,1,False,0,0,,unknown,,1,,0.11869212962962963,0.11862268518518519
14043,fix nan in PP-OCRv4,closed,True,2024-10-18T09:20:02Z,2024-10-18T10:00:08Z,2024-11-11T02:02:11Z,wangna11BD,True,8,2,0,1,1,1,0,19,34,1,5,8,0,1,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,2024-10-18T10:00:00Z,1,1,0,1,True,0,0,,unknown,,0,,0.02784722222222222,0.02775462962962963
