pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,additions,deletions,changed_files,commits,comments,review_comments,file_types_count,directories_count,total_changes,first_review_at,time_to_close_days,response_time_days,review_count,approval_count,change_request_count,reviewer_count,test_files_count,test_changes,doc_files_count,config_files_count,title_length,description_length,has_description,label_count,milestone,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,assignees_count,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_changed,files_added,files_deleted,files_changed,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
161130,Fix autograd assertion error in CUDA backend when privateuse1 is registered,open,False,2025-08-21 02:30:21,,2025-08-26 18:21:29,matthewdcong,0.0,7,9,2,1,4,0,2.0,1.0,16,2025-08-21 02:34:18,,0.002743055555555555,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,75,579,True,3.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,7,9,8.0,7.0,4.0,0.0,0.0,2,16,2.0,0.0,0.0,11,84
161131,Add debugging facilities in jit code,closed,False,2025-08-21 02:53:13,2025-08-31 14:15:43,2025-08-31 14:15:48,cyyever,0.0,6,3,1,1,6,0,1.0,1.0,9,2025-08-21 05:02:59,10.47395833333333,0.09011574074074075,2.0,1.0,1.0,4.0,0.0,,0.0,0.0,36,93,True,4.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,6,3,4.0,2.0,1.0,0.0,0.0,1,9,1.0,0.0,20.0,6,12
161133,[inductor] disable min/max macro on Windows.,closed,False,2025-08-21 03:06:57,2025-08-21 19:53:00,2025-08-21 19:54:04,xuhancn,0.0,13,0,1,2,3,0,1.0,1.0,17,2025-08-21 17:24:47,0.6986458333333333,0.5957175925925926,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,44,344,True,8.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,13,0,3.0,1.0,2.0,0.0,0.0,1,17,1.0,0.0,2.0,6,34
161135,Update custom_class_detail.h,open,False,2025-08-21 03:29:51,,2025-08-23 17:30:35,bumi001,0.0,11,0,1,1,5,1,1.0,1.0,11,2025-08-22 18:55:12,,1.642604166666667,2.0,1.0,0.0,2.0,0.0,,0.0,0.0,28,334,True,1.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,11,0,2.0,1.0,1.0,0.0,0.0,1,11,1.0,0.0,0.0,2,38
161136,[dist] expose unsafe_get_ptr for dist.ProcessGroupNCCL.NCCLConfig,closed,False,2025-08-21 03:49:32,2025-08-21 10:47:06,2025-08-21 10:58:08,youkaichao,0.0,6,0,2,6,4,3,2.0,2.0,44,2025-08-21 04:38:48,0.2899768518518518,0.03421296296296297,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,65,271,True,5.0,,True,,,,unknown,,0,False,False,False,False,False,False,2.0,,,6,0,4.0,2.0,2.0,0.0,0.0,2,44,2.0,0.0,2.0,5,40
161137,[BE] Remove the default TORCH_CUDA_ARCH_LIST in CI Docker image,closed,False,2025-08-21 03:54:10,2025-08-22 06:03:15,2025-08-22 06:04:18,huydhn,0.0,0,3,2,2,3,0,1.0,2.0,3540,2025-08-21 15:21:23,1.089641203703704,0.4772337962962963,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,63,342,True,3.0,,True,,,,unknown,,0,False,False,False,False,True,False,2.0,,,0,3,2.0,4.0,2.0,0.0,0.0,2,3540,2.0,0.0,7.0,9,57
161140,Debug #160583,closed,False,2025-08-21 05:28:44,2025-08-22 16:59:01,2025-09-22 02:15:51,huydhn,0.0,939,72,19,83,1,0,5.0,10.0,27597,,1.479363425925926,,,,,3.04663840096911,8.0,,0.0,4.0,13,18,True,2.0,,False,,,0.0,dirty,0.0,0,False,True,False,False,False,False,10.0,,,939,72,81.0,59.0,44.0,7.0,0.0,19,27597,11.0,0.0,7.0,2,4
161141,functorch: add vmap batching rule for efficient SDPA (forward + backward),open,False,2025-08-21 06:01:26,,2025-09-01 17:19:54,PrithviElancherran,0.0,185,0,3,3,3,0,1.0,2.0,185,,,,,,,3.04663840096911,1.0,,0.0,0.0,73,767,True,2.0,,True,,,,unknown,,0,False,True,False,False,False,False,2.0,,,185,0,6.0,3.0,3.0,2.0,0.0,3,185,1.0,0.0,0.0,11,94
161142,[Fix XPU CI][Inductor UT] Fix test cases broken by community.,closed,False,2025-08-21 06:35:20,2025-09-03 03:18:51,2025-09-03 03:18:51,etaf,0.0,24,0,6,4,23,0,1.0,4.0,36882,2025-08-30 00:43:20,12.86355324074074,8.755555555555556,1.0,1.0,0.0,4.0,5.0,,0.0,0.0,61,372,True,10.0,,False,,,1.0,unstable,0.0,0,False,True,False,False,False,False,4.0,,,24,0,14.0,6.0,7.0,0.0,0.0,6,36882,6.0,0.0,0.0,10,38
161143,"[nativert] Introduce PassRegistrar, use static registration for graph passes",closed,False,2025-08-21 06:55:37,2025-09-13 03:42:47,2025-09-13 03:42:47,SherlockNoMad,0.0,56,61,4,1,6,1,2.0,1.0,117,2025-08-21 16:42:19,22.86608796296296,0.4074305555555556,4.0,3.0,0.0,3.0,0.0,,0.0,0.0,76,361,True,3.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,56,61,23.0,25.0,4.0,0.0,1.0,4,117,3.0,0.0,7.0,9,33
