pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,prev_PRs,additions,deletions,changed_files,commits,comments,review_comments,title_length,description_length,has_description,title_words,body_words,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,assignees_count,file_types_count,file_types,language_types,directories_count,directories,total_changes,test_files_count,test_changes,doc_files_count,config_files_count,files_added,files_deleted,files_modified,files_changed,change_num,segs_added,segs_deleted,segs_changed,is_core_member,lines_added,lines_deleted,first_review_at,review_count,approval_count,change_request_count,reviewer_count,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,label_count,milestone,time_to_close_days,response_time_days
6326,Fix delta overflow,open,False,2025-09-20T14:51:36Z,,2025-09-21T11:32:07Z,AliceRoselia,True,16,15,2,1,1,2,0,18,457,1,3,69,0,1,0,0,0,0,0,1,1,1,1,1,17,0,0,0,0,0,0,1,1,1,0,0,1,0,15,2,,0,0,0,0,True,0,0,True,clean,True,1,,,
6325,MovePicker: prefer contHist[4] over [5] for quiet scoring,closed,False,2025-09-20T14:50:51Z,2025-09-20T14:51:49Z,2025-09-20T15:23:31Z,esonde,False,2,3,1,1,1,0,0,57,674,1,9,102,1,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,0,1,0,3,1,,0,0,0,0,True,0,0,True,clean,False,0,,0.0006712962962962962,
6324,Extend nodes pre qsearch only with deep enough tt entries.,open,False,2025-09-20T06:31:09Z,,2025-09-21T11:30:50Z,Vizvezdenec,True,246,1,1,1,1,0,0,58,510,1,10,88,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,,0,0,0,0,True,0,0,True,clean,True,1,,,
6323,Tune LMR reduction for non-improving nodes,closed,False,2025-09-19T20:45:37Z,2025-09-19T20:51:58Z,2025-09-19T20:51:58Z,esonde,False,2,1,1,1,1,0,0,42,258,1,7,36,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,,0,0,0,0,True,0,0,True,clean,False,0,,0.004409722222222222,
6322,Move Skill class to its own files,open,False,2025-09-18T12:13:33Z,,2025-09-18T16:20:25Z,FauziAkram,True,282,127,64,6,15,1,0,33,472,1,7,79,0,0,1,0,0,1,0,3,3,1,1,1,191,0,0,0,0,2,0,4,6,15,2,0,4,1,127,64,,0,0,0,0,True,0,0,True,clean,True,0,,,
6321,Further simplify low ply history in evasions,open,False,2025-09-16T05:40:53Z,,2025-09-21T11:29:44Z,xu-shawn,True,153,1,1,1,2,0,0,44,478,1,7,82,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,,0,0,0,0,True,0,0,True,clean,True,1,,,
6320,Optimize singular extension with material-based adjustment,closed,False,2025-09-16T03:56:52Z,2025-09-16T04:07:36Z,2025-09-16T04:07:36Z,rlefko,False,5,5,1,2,1,1,0,58,932,1,7,131,1,0,0,1,0,0,0,2,2,1,2,2,6,0,0,0,0,0,0,2,2,1,0,0,2,0,5,1,,0,0,0,0,True,0,0,True,clean,False,0,,0.007453703703703704,
6319,Optimize singular extension with material-based adjustment,closed,False,2025-09-16T01:24:10Z,2025-09-16T01:29:22Z,2025-09-16T01:29:22Z,rlefko,False,5,5,1,2,1,1,0,58,1040,1,7,146,1,0,0,1,0,0,0,2,2,1,2,2,6,0,0,0,0,0,0,2,2,1,0,0,2,0,5,1,,0,0,0,0,True,0,0,True,clean,False,0,,0.003611111111111111,
6318,Improve tactical evaluation of knight promotions in quiescence,closed,False,2025-09-16T01:07:37Z,2025-09-16T01:09:52Z,2025-09-16T01:09:52Z,rlefko,False,5,13,2,1,1,1,0,62,2031,1,8,279,1,0,1,1,0,0,0,1,1,1,1,1,15,0,0,0,0,0,0,1,1,1,0,0,1,0,13,2,,0,0,0,0,True,0,0,True,clean,False,0,,0.0015625,
6317,Enhance LMR reductions for checking moves,closed,False,2025-09-16T01:02:56Z,2025-09-16T01:10:40Z,2025-09-16T01:10:40Z,rlefko,False,5,10,0,2,1,0,0,41,1666,1,6,231,1,0,1,1,0,0,0,2,2,1,2,2,10,0,0,0,0,0,0,2,2,1,0,0,2,0,10,0,,0,0,0,0,True,0,0,True,clean,False,0,,0.00537037037037037,
