number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
268488,open,Add support for MCP servers over Unix domain sockets and named pipes,bwateratmsft,"Fixes #268487.

This PR adds support for doing StreamableHTTP MCP servers over Unix domain sockets and named pipes. For local MCP servers, this is generally more secure than standard localhost HTTP. Standard IO servers are still preferable for local MCP servers, but some scenarios are better served by StreambleHTTP--for example, an MCP server can be hosted in the extension host process by an extension using this approach.

/cc @connor4312

Below is some sample extension code. In practice, a random pipe/socket name should be used, and permissions enforced as well, but this shows the gist.

```typescript
export function activate() {

    const isWindows = os.platform() === 'win32';
    const socketPath = isWindows ? '\\\\.\\pipe\\hello-world' : path.join(os.tmpdir(), 'hello-world.sock');

    const socketUri = vscode.Uri.from({
        scheme: isWindows ? 'pipe' : 'unix',
        path: socketPath,
        fragment: '/mcp' // The express app below is configured to serve MCP over the `/mcp` route
    });

    vscode.lm.registerMcpServerDefinitionProvider('hello-world', {
        provideMcpServerDefinitions(token: vscode.CancellationToken): vscode.McpServerDefinition[] {
            return [
                new vscode.McpHttpServerDefinition(
                    'hello-world',
                    socketUri,
                ),
            ];
        },
        resolveMcpServerDefinition(server: vscode.McpServerDefinition, token: vscode.CancellationToken): vscode.McpServerDefinition {
            startMcpServer(socketPath); // Additionally, the server should also be closed on extension deactivation
            return server;
        }
    });

}

function startMcpServer(socketPath: string) {
    // Uses express, same as the MCP TypeScript SDK examples
    const app = express();

    // MCP StreamableHTTP server setup, refer to examples at https://www.npmjs.com/package/@modelcontextprotocol/sdk#streamable-http
    // ...

    // Listen on the socket/named pipe
    app.listen(socketPath);
}
```

",2025-09-26 15:28:15+00:00,2025-09-26T15:36:52Z,,False,1,5,2,56,4,4,6,,68,2022,False,True,False,False,False,False,4,1,89,62,57,5,1,2,1.0,1.0,2025-09-26T15:34:46Z,vscode
268462,open,Show the `Learn How to Hide AI Features` in more situations (fix #268450),gjsjohnmurray,"This PR fixes #268450
",2025-09-26 11:11:33+00:00,2025-09-26T11:12:44Z,,False,1,0,1,1,4,1,1,,73,22,False,True,True,False,False,False,1,1,17,5,1,4,1,1,1.0,1.0,2025-09-26T11:12:09Z,vscode
268460,closed,chat - stop sending `userSelectedModelId` (#267523),bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-26 11:04:55+00:00,2025-09-26T12:12:00Z,2025-09-26T12:11:59Z,True,0,0,1,1,3,1,0,2025-09-26 12:11:59+00:00,51,344,False,False,False,False,False,False,1,0,0,4,1,3,1,1,,,,vscode
268457,open,Fix settings in release notes,alexr00,Fixes #268443,2025-09-26 10:49:17+00:00,2025-09-26T10:49:22Z,,False,0,0,1,3,4,1,0,,29,13,False,True,False,False,False,False,1,0,0,7,3,4,1,1,,,,vscode
268455,open,Settings links in Release Notes do nothing,alexr00,Part of #268443,2025-09-26 10:40:34+00:00,2025-09-26T10:43:30Z,,False,0,2,2,58,4,4,2,,42,15,False,False,False,False,False,False,4,0,0,64,59,5,1,2,,,,vscode
268439,closed,adopt to latest github mcp registry spec,sandy081,,2025-09-26 08:31:11+00:00,2025-09-26T08:43:02Z,2025-09-26T08:43:01Z,True,0,3,1,182,72,2,3,2025-09-26 08:43:01+00:00,40,0,False,False,False,False,False,False,2,0,0,254,182,72,1,1,,,,vscode
268436,closed,chat - tweaks to anonymous indicators,bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-26 07:52:02+00:00,2025-09-26T08:16:52Z,2025-09-26T08:16:50Z,True,0,2,5,11,29,3,2,2025-09-26 08:16:51+00:00,37,344,False,False,False,False,False,False,3,0,0,44,13,31,1,5,,,,vscode
268433,closed,chat - fix entitlement telemetry around quota remaining,bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-26 07:44:04+00:00,2025-09-26T07:55:47Z,2025-09-26T07:55:46Z,True,0,1,1,12,4,1,1,2025-09-26 07:55:46+00:00,55,344,False,True,False,False,False,False,1,0,0,16,12,4,1,1,,,,vscode
268428,open,Engineering - try to run mangling in the PR check,lszomoru,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-26 06:41:19+00:00,2025-09-26T15:15:51Z,,False,0,1,8,1,1,1,1,,49,344,False,False,False,False,False,False,1,0,0,164,82,82,1,8,,,,vscode
268414,closed,Update distro in package.json,karthiknadig,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-26 02:14:22+00:00,2025-09-26T04:50:36Z,2025-09-26T04:50:33Z,True,0,0,1,1,1,1,0,2025-09-26 04:50:33+00:00,29,344,False,False,False,False,False,False,1,0,0,2,1,1,1,1,,,,vscode
268409,closed,Skip failing tests,roblourens,https://github.com/microsoft/vscode/issues/268408,2025-09-26 01:51:24+00:00,2025-09-26T02:47:56Z,2025-09-26T02:47:55Z,True,0,0,1,2,2,1,0,2025-09-26 02:47:55+00:00,18,49,False,False,False,False,False,False,1,0,0,4,2,2,1,1,,,,vscode
268404,open,Keybindings for navigating user chat items,vijayupadya,"Fixes #265417

Add configurable keybindings for navigating user chat items (prompts).

",2025-09-26 00:42:28+00:00,2025-09-26T02:08:30Z,,False,1,3,1,118,0,2,4,,42,87,False,True,False,False,False,False,2,0,0,118,118,0,1,1,,,,vscode
268402,closed,Remove duplicates from chat sessions,osortega,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->

This fixes the bug where we show duplicate entries when we create a new chat session from the provider view and send a request",2025-09-26 00:22:51+00:00,2025-09-26T02:49:58Z,2025-09-26T02:49:57Z,True,1,3,2,10,6,2,4,2025-09-26 02:49:57+00:00,36,471,False,True,False,False,False,False,2,1,38,20,12,8,1,2,1.0,1.0,2025-09-26T02:49:44Z,vscode
