pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,additions,deletions,changed_files,commits,comments,review_comments,file_types_count,directories_count,total_changes,first_review_at,time_to_close_days,response_time_days,review_count,approval_count,change_request_count,reviewer_count,test_files_count,test_changes,doc_files_count,config_files_count,title_length,description_length,has_description,label_count,milestone,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,assignees_count,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_changed,files_added,files_deleted,files_changed,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
258265,Codespace organic meme 697gx4r96xx436xp,closed,False,2025-07-28 16:32:10,2025-07-29 00:14:19,2025-09-12 23:24:44,gtggy890m-spec,0.0,207,128,2,6,1,0,1.0,2.0,379,2025-07-28 16:44:03,0.3209375,0.008252314814814815,,,,1.0,1.0,,0.0,0.0,39,344,True,0.0,,1.0,,,0.0,dirty,0.0,1.0,False,False,False,False,False,False,2.0,,,207,128,33.0,31.0,7.0,0.0,0.0,2,379,2.0,0.0,0.0,4,49
258266,Turn on Quick Tree-based Tool picker,closed,True,2025-07-28 16:59:21,2025-07-28 17:11:05,2025-09-11 23:25:42,TylerLeonhardt,0.0,2,2,1,1,0,0,1.0,1.0,4,,0.008148148148148147,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,36,352,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,2,2,2.0,2.0,1.0,0.0,0.0,1,4,1.0,0.0,1.0,6,50
258269,fix: avoid leaking focus tracker,closed,False,2025-07-28 17:06:24,2025-07-30 05:52:39,2025-09-13 23:24:47,alexkozy,0.0,5,3,1,1,2,0,1.0,1.0,8,2025-07-28 23:18:53,1.532118055555556,0.2586689814814815,,,,2.0,0.0,,0.0,0.0,32,647,True,0.0,,1.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,5,3,3.0,3.0,2.0,0.0,0.0,1,8,1.0,0.0,0.0,5,91
258273,Enable defaultMode experiment for free users,closed,True,2025-07-28 17:20:21,2025-07-28 22:18:33,2025-09-11 23:25:42,roblourens,0.0,5,3,1,1,0,0,1.0,1.0,8,,0.2070833333333333,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,44,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,5,3,4.0,3.0,1.0,0.0,0.0,1,8,1.0,0.0,1.0,6,49
258275,fix: disable appx identity for system setup,closed,True,2025-07-28 17:21:48,2025-07-28 17:33:51,2025-09-11 23:25:42,deepak1556,0.0,8,4,1,2,0,0,1.0,1.0,18,,0.008368055555555556,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,43,252,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,8,4,7.0,5.0,5.0,0.0,0.0,1,18,1.0,0.0,3.0,7,18
258276,Enable defaultMode experiment for free users,closed,True,2025-07-28 17:22:26,2025-07-28 20:06:01,2025-09-11 23:25:42,roblourens,0.0,5,3,1,1,0,0,1.0,1.0,8,2025-08-07 15:06:38,0.113599537037037,9.905694444444444,2.0,1.0,0.0,1.0,0.0,,0.0,0.0,44,344,True,1.0,June 2025 Recovery 3,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,5,3,4.0,3.0,1.0,0.0,0.0,1,8,1.0,0.0,1.0,6,49
258278,OSS tool run for endgame,closed,True,2025-07-28 17:37:23,2025-07-28 17:54:16,2025-09-11 23:25:42,osortega,0.0,6,42,2,1,0,0,1.0,2.0,48,,0.01172453703703704,,1.0,1.0,0.0,1.472222222222222,0.0,,2.0,0.0,24,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,2.0,,,6,42,8.0,8.0,6.0,0.0,0.0,2,48,2.0,0.0,0.0,5,49
258287,Fix terminal tool in msbench,closed,True,2025-07-28 18:01:06,2025-07-28 18:13:12,2025-09-11 23:25:42,roblourens,0.0,3,5,2,1,0,0,1.0,2.0,8,,0.008402777777777778,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,28,450,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,2.0,,,3,5,4.0,3.0,2.0,0.0,0.0,2,8,2.0,0.0,1.0,5,69
258295,Remove the undefined in the api,closed,True,2025-07-28 18:26:51,2025-07-28 18:38:54,2025-09-11 23:25:42,TylerLeonhardt,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.008368055555555556,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,31,487,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,6,73
258297,Error handle delete worktree within a worktree,closed,True,2025-07-28 18:32:18,2025-07-28 18:43:58,2025-09-11 23:25:42,nguyenchristy,0.0,2,1,1,1,0,0,1.0,1.0,3,,0.008101851851851851,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,46,411,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,2,1,3.0,2.0,2.0,0.0,0.0,1,3,1.0,0.0,0.0,7,52
258299,remove stale label reference,closed,True,2025-07-28 18:41:58,2025-07-28 18:54:00,2025-09-11 23:25:42,Yoyokrazy,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.008356481481481482,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,28,0,False,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,4,0
258300,Fix math blocks after paragraphs,closed,True,2025-07-28 18:44:04,2025-07-28 19:04:53,2025-09-11 23:25:42,mjbvz,0.0,14,0,3,1,1,0,2.0,3.0,14,,0.01445601851851852,,1.0,1.0,0.0,1.472222222222222,2.0,,0.0,0.0,32,16,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,True,False,False,False,False,3.0,,,14,0,6.0,3.0,3.0,1.0,0.0,3,14,2.0,0.0,8.0,5,2
258308,Don't attempt to cancel command when basic SI is used,closed,True,2025-07-28 19:14:44,2025-07-28 20:00:30,2025-09-11 23:25:42,Tyriar,0.0,5,1,1,1,0,0,1.0,1.0,6,,0.03178240740740741,,1.0,1.0,0.0,1.472222222222222,1.0,,0.0,0.0,53,650,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,5,1,3.0,2.0,1.0,0.0,0.0,1,6,1.0,0.0,9.0,10,101
258310,add ~spam label command,closed,True,2025-07-28 19:28:23,2025-07-28 19:40:14,2025-09-11 23:25:42,Yoyokrazy,0.0,10,0,1,1,2,0,1.0,1.0,10,2025-07-29 09:23:21,0.008229166666666666,0.579837962962963,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,23,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,10,0,3.0,1.0,1.0,0.0,0.0,1,10,1.0,0.0,0.0,4,49
258325,lowercase placeholder text,closed,True,2025-07-28 20:33:35,2025-07-28 21:21:59,2025-09-11 23:25:42,eli-w-king,0.0,1,1,1,1,0,0,1.0,1.0,2,2025-07-28 20:35:35,0.03361111111111111,0.001388888888888889,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,26,526,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,3,65
258334, Small cleanup/tweaks to chat session API,closed,True,2025-07-28 20:57:53,2025-07-28 21:10:00,2025-09-11 23:25:42,mjbvz,0.0,52,38,6,1,1,0,1.0,4.0,90,,0.008414351851851852,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,41,442,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,True,False,4.0,,,52,38,33.0,30.0,19.0,0.0,0.0,6,90,6.0,0.0,8.0,6,67
258341,fix: align counter element,closed,True,2025-07-28 21:23:00,2025-07-28 22:13:03,2025-09-11 23:25:42,rzhao271,0.0,2,2,1,2,0,0,1.0,1.0,16,,0.03475694444444444,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,26,171,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,2,2,3.0,3.0,2.0,0.0,0.0,1,16,1.0,0.0,1.0,4,22
258344,tools: UI side of virtual tools at threshold,closed,True,2025-07-28 21:41:04,2025-07-28 22:30:37,2025-09-11 23:25:42,connor4312,0.0,234,25,14,4,0,0,2.0,10.0,259,,0.03440972222222222,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,44,680,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,10.0,,,234,25,67.0,37.0,35.0,0.0,0.0,14,259,14.0,0.0,0.0,8,88
258345,always set locked coding agents to ask mode,closed,True,2025-07-28 21:43:52,2025-07-28 22:05:52,2025-09-11 23:25:42,joshspicer,0.0,1,0,1,1,0,0,1.0,1.0,1,,0.01527777777777778,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,43,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,0,2.0,1.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,8,49
258346,Removing chat session provider label,closed,True,2025-07-28 21:46:42,2025-07-28 22:32:11,2025-09-11 23:25:42,osortega,0.0,21,16,7,1,0,1,1.0,5.0,37,,0.03158564814814815,,2.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,36,432,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,5.0,,,21,16,17.0,18.0,11.0,0.0,0.0,7,37,7.0,0.0,0.0,5,61
258356,Pick up latest TS for building VS Code,closed,True,2025-07-28 22:15:43,2025-07-29 00:08:10,2025-09-12 23:24:45,mjbvz,0.0,5,5,2,1,1,0,1.0,1.0,10,,0.07809027777777777,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,2.0,38,344,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,5,5,5.0,5.0,3.0,0.0,0.0,2,10,2.0,0.0,8.0,8,49
258357,Add debug/watch/context to menus,closed,True,2025-07-28 22:22:30,2025-07-28 23:06:15,2025-09-11 23:25:42,connor4312,0.0,152,62,7,10,0,0,1.0,3.0,470199,,0.03038194444444444,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,32,50,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,3.0,,,152,62,36.0,29.0,23.0,0.0,0.0,7,470199,7.0,0.0,0.0,4,8
258359,Allow a few more katex styles,closed,True,2025-07-28 22:26:58,2025-07-29 00:01:59,2025-09-12 23:24:45,mjbvz,0.0,19,3,4,2,2,0,2.0,2.0,22,,0.06598379629629629,,2.0,1.0,0.0,1.472222222222222,3.0,,0.0,0.0,29,53,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,2.0,,,19,3,12.0,7.0,5.0,0.0,0.0,4,22,4.0,0.0,8.0,6,2
258362,Center align block katex equations,closed,True,2025-07-28 22:40:50,2025-07-28 22:54:04,2025-09-11 23:25:42,mjbvz,0.0,1,0,1,1,1,0,1.0,1.0,1,,0.009189814814814816,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,34,344,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,0,2.0,1.0,1.0,0.0,0.0,1,1,1.0,0.0,8.0,5,49
258365,Return original markup if katex fails,closed,True,2025-07-28 22:49:17,2025-07-29 01:24:50,2025-09-12 23:24:44,mjbvz,0.0,13,5,1,1,1,0,1.0,1.0,18,,0.1080208333333333,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,37,344,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,13,5,3.0,3.0,1.0,0.0,0.0,1,18,1.0,0.0,8.0,6,49
258371,Fix issues with agent mode disabled,closed,True,2025-07-29 00:09:13,2025-07-29 00:30:32,2025-09-12 23:24:43,roblourens,0.0,7,2,2,1,0,0,1.0,2.0,9,,0.01480324074074074,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,35,496,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,2.0,,,7,2,4.0,4.0,2.0,0.0,0.0,2,9,2.0,0.0,1.0,6,72
258379,Fix possible leaks in notebook chat Editing component,closed,True,2025-07-29 01:19:19,2025-07-29 20:04:57,2025-09-12 23:24:43,DonJayamanne,0.0,4,1,1,1,1,0,1.0,1.0,5,2025-07-29 13:07:07,0.7816898148148148,0.4915277777777778,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,53,457,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,4,1,3.0,2.0,2.0,0.0,0.0,1,5,1.0,0.0,2.0,8,59
258380,Fix chat session type activation,closed,True,2025-07-29 01:31:07,2025-07-29 01:44:30,2025-09-12 23:24:43,rebornix,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.009293981481481481,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,32,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,5,49
258381,`Your work will be continued in this pull request.`,closed,True,2025-07-29 01:38:17,2025-07-29 01:50:27,2025-09-12 23:24:43,joshspicer,0.0,6,0,1,1,0,0,1.0,1.0,6,,0.008449074074074074,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,51,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,6,0,2.0,1.0,1.0,0.0,0.0,1,6,1.0,0.0,0.0,9,49
258385,bump to 1.102.3,closed,True,2025-07-29 02:12:56,2025-07-29 02:38:03,2025-09-12 23:24:43,joshspicer,,3,3,2,1,0,0,,,6,,0.01744212962962963,,,,,1.472222222222222,,,,,15,399,True,,,0.0,,,,unknown,,0.0,False,False,False,False,False,False,,,,3,3,5.0,5.0,2.0,,,2,6,,,,3,51
258405,change from exp to preview,closed,True,2025-07-29 06:45:37,2025-07-29 07:06:14,2025-09-12 23:24:43,justschen,0.0,1,1,1,1,1,0,1.0,1.0,2,,0.01431712962962963,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,26,344,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,3.0,5,49
258406,Fix coding agent cancellation via stop button.,closed,True,2025-07-29 06:50:12,2025-07-29 07:06:36,2025-09-12 23:24:43,rebornix,0.0,57,9,5,1,0,0,1.0,3.0,66,,0.01138888888888889,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,46,389,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,3.0,,,57,9,16.0,7.0,9.0,0.0,0.0,5,66,5.0,0.0,1.0,7,56
258407,Fix soft wrapping on \n,open,False,2025-07-29 06:57:35,,2025-09-21 22:50:53,RedCMD,0.0,28,25,2,7,2,3,1.0,2.0,132313,2025-07-29 07:22:17,,0.01715277777777778,2.0,0.0,0.0,2.0,1.0,,0.0,0.0,23,898,True,0.0,,1.0,,,,unknown,,1.0,False,True,False,False,False,False,2.0,,,28,25,11.0,12.0,7.0,0.0,0.0,2,132313,2.0,0.0,0.0,5,121
258417,"Disable notebook ""check object leaks"" test",closed,True,2025-07-29 08:45:54,2025-07-29 13:23:47,2025-09-12 23:24:43,alexr00,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.192974537037037,,1.0,1.0,0.0,1.472222222222222,1.0,,0.0,0.0,42,0,False,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,6,0
