number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
10001,closed,"Added IpValidator description to `core-validators` ru,en guides. IpValidator PHPDoc enhanced [ci skip]",SilverFire,,2015-10-24 07:36:43+00:00,2015-10-24T18:17:10Z,2015-10-24T17:31:47Z,True,1,0,1,162,18,3,1,2015-10-24 17:31:47+00:00,102.0,0,False,False,False,False,False,False,3,1,9,180.0,162.0,18.0,1.0,1.0,1.0,1.0,2015-10-24T17:31:51Z,yii2
10010,closed,Update composer-asset-plugin version,pana1990,,2015-10-25 10:46:31+00:00,2015-10-26T14:30:45Z,2015-10-26T07:07:24Z,True,1,0,1,1,1,1,1,2015-10-26 07:07:24+00:00,36.0,0,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-26T07:07:27Z,yii2
10011,closed,[Uk][Doc] Guide updates [skip ci],Borales,,2015-10-25 14:39:53+00:00,2015-10-25T16:31:02Z,2015-10-25T16:30:40Z,True,1,0,5,115,2,3,1,2015-10-25 16:30:40+00:00,33.0,0,True,False,False,False,False,False,172,1,8,63417.0,52832.0,10585.0,2.0,5.0,1.0,1.0,2015-10-25T16:30:56Z,yii2
10014,closed,Update translation,p0vidl0,"Есть 2 проблемы:
1. ""Log Targets"" перевел как ""Цели логов"". Так было в первой версии перевода, ничего лучше не смог придумать,
2. Подраздел ""Log Targets"", первое примечание 
""Note: The log component must be loaded during bootstrapping time so that it can dispatch log messages to targets promptly. That is why it is listed in the bootstrap array as shown above."" 
перевел как 
""Примечание: Компонент `log` должен быть загружен в процессе [предзагрузки](runtime-bootstrapping.md), тогда он сможет оперативно передавать сообщения целям логов. Поэтому он указан в массиве `bootstrap`.""
Смысл первого предложения не переврал?
",2015-10-26 11:31:46+00:00,2015-10-26T13:34:06Z,2015-10-26T13:33:48Z,True,1,0,1,253,56,1,1,2015-10-26 13:33:48+00:00,18.0,622,False,False,False,False,False,False,1,1,30,309.0,253.0,56.0,1.0,1.0,1.0,1.0,2015-10-26T13:33:55Z,yii2
10015,closed,mysql\Schema: Reintroduced older (SQL CREATE) style fk detection,Blizzke,"As discussed in 191185f5e301dbea93783870d3b650916c304719 I've reintroduced the previous way of determining FKs for a MySQL table. Took the liberty of implementing a patch for bug #6351 as well in the old style.
",2015-10-26 14:53:41+00:00,2015-10-27T14:44:41Z,,False,1,1,2,35,12,1,2,2015-10-27 14:44:37+00:00,64.0,211,False,False,False,False,False,False,2,1,89,81.0,52.0,29.0,1.0,2.0,1.0,1.0,2015-10-27T14:44:37Z,yii2
10017,closed,Added total applied migrations to final report,nikashitsa,"This Pull Request solves #8649.
Looking forward for any feedback :blush: 
",2015-10-26 20:28:30+00:00,2015-10-26T23:11:53Z,2015-10-26T23:11:38Z,True,1,0,1,11,0,2,1,2015-10-26 23:11:38+00:00,46.0,74,False,False,False,False,False,False,2,1,9,11.0,11.0,0.0,1.0,1.0,1.0,1.0,2015-10-26T23:11:41Z,yii2
10018,closed,Added `Formatter::asDuration`,SilverFire,"Continue of @nineinchnick work in #9710
- Added PHPDoc
- Added missing test
- Added RU and UK messages translation
- Added to RU, EN guides

Closes #9710
Closes #5146
Closes #5704 
Closes #9704 
",2015-10-26 22:10:52+00:00,2015-10-27T09:52:40Z,2015-10-27T09:45:49Z,True,4,0,3,165,1,8,4,2015-10-27 09:45:49+00:00,29.0,195,True,False,False,False,False,False,10,4,134,176.0,170.0,6.0,2.0,3.0,2.0,4.0,2015-10-26T23:13:32Z,yii2
10019,closed,Updates for Russian translation,p0vidl0,"Fix and update Russian translation.
Fix typo in docs/guide/concept-di-container.md.
",2015-10-27 04:57:05+00:00,2015-10-27T09:49:33Z,,False,1,0,6,128,71,6,1,2015-10-27 09:49:14+00:00,31.0,84,False,False,False,False,False,False,6,1,89,199.0,128.0,71.0,1.0,6.0,1.0,1.0,2015-10-27T09:49:28Z,yii2
10021,closed,Update concept-behaviors.md,musay,"typo
",2015-10-27 06:29:31+00:00,2015-10-28T20:46:16Z,2015-10-27T09:54:12Z,True,1,0,1,1,1,1,1,2015-10-27 09:54:13+00:00,27.0,5,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-27T09:54:16Z,yii2
10022,closed,Update input-forms.md,s-savchenko,,2015-10-27 06:33:26+00:00,2015-10-27T09:56:41Z,,False,1,0,1,2,2,1,1,2015-10-27 09:56:29+00:00,21.0,0,False,False,False,False,False,False,1,1,17,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2015-10-27T09:56:37Z,yii2
