Model,Dataset,Ablation,Accuracy,Precision,Recall,F1
LogisticRegression,Dataset 0,Baseline,0.9916666666666667,0.9946808510638299,0.9814814814814814,0.9878922409444052
LogisticRegression,Dataset 1,Baseline,0.9666666666666667,0.5,0.48333333333333334,0.4915254237288136
LogisticRegression,Dataset 2,Baseline,0.9926470588235294,0.9793907187943711,0.9885668438471568,0.9839166694260616
LogisticRegression,Dataset 3,Baseline,0.9575,0.7700024770869458,0.9302631578947369,0.8282437927811876
RandomForest,Dataset 0,Baseline,0.9916666666666667,0.9946808510638299,0.9814814814814814,0.9878922409444052
RandomForest,Dataset 1,Baseline,1.0,1.0,1.0,1.0
RandomForest,Dataset 2,Baseline,0.9933823529411765,0.9912399185655,0.9793806801629488,0.9852080838305262
RandomForest,Dataset 3,Baseline,0.9525,0.9761904761904762,0.525,0.5354239256678281
GradientBoosting,Dataset 0,Baseline,0.9833333333333333,0.9761051373954599,0.9761051373954599,0.9761051373954599
GradientBoosting,Dataset 1,Baseline,1.0,1.0,1.0,1.0
GradientBoosting,Dataset 2,Baseline,1.0,1.0,1.0,1.0
GradientBoosting,Dataset 3,Baseline,0.9575,0.7776626605884791,0.7644736842105264,0.7708817682536473
