Model,Dataset,Ablation,MAE,MSE,RMSE,R2
LinearRegression,Dataset 0,Baseline,10.926477642971776,331.6508012174769,18.211282250777316,-0.7306482081442045
LinearRegression,Dataset 1,Baseline,7.841673221911166,88.80804459959315,9.42380202463916,-15.096986348380309
LinearRegression,Dataset 2,Baseline,1.2625348145180137,10.268126914657985,3.204391816656943,0.30811296033722124
LinearRegression,Dataset 3,Baseline,3.5269078226216144,19.284076941896636,4.39136390451721,-16.350765867484373
RandomForest,Dataset 0,Baseline,8.459796793130309,376.58168086588324,19.405712583306062,-0.9651103172915518
RandomForest,Dataset 1,Baseline,8.533846493266061,265.6864180655892,16.299890124340997,-47.1572436802808
RandomForest,Dataset 2,Baseline,0.58606973995844,3.275245297730482,1.8097638789992694,0.7793073856555794
RandomForest,Dataset 3,Baseline,4.3850989841227435,27.038791475582922,5.199883794430691,-23.32803714930781
GradientBoosting,Dataset 0,Baseline,9.865247411090637,281.6659243566974,16.78290571851899,-0.4698129040959229
GradientBoosting,Dataset 1,Baseline,9.053429089029475,539.1687990317407,23.220008592413155,-96.72755200970046
GradientBoosting,Dataset 2,Baseline,0.3046967563690478,0.4212252871021864,0.6490187109029958,0.9716169931140802
GradientBoosting,Dataset 3,Baseline,4.430279822986243,30.1450921363779,5.490454638404538,-26.122917902058262
HistGradientBoosting,Dataset 0,Baseline,10.859661353366844,399.54587574937904,19.988643669578458,-1.0849440176194318
HistGradientBoosting,Dataset 1,Baseline,5.836611358040844,71.88235227104747,8.478346081108477,-12.02910393324679
HistGradientBoosting,Dataset 2,Baseline,0.8706948796058063,5.759603145055561,2.399917320462428,0.6119063581132551
HistGradientBoosting,Dataset 3,Baseline,4.587708036982312,34.7841580355898,5.8978095964171136,-30.296897631737767
GradientBoosting_log1p,Dataset 0,Baseline,3.55804403202654,116.64881367125069,10.80040803262778,0.39129331326440076
GradientBoosting_log1p,Dataset 1,Baseline,3.542494638360878,53.425477574991106,7.309273395830197,-8.683685605935187
GradientBoosting_log1p,Dataset 2,Baseline,0.21224771493347913,0.8763213849037198,0.9361203901762422,0.9409517028925021
GradientBoosting_log1p,Dataset 3,Baseline,3.370636685981565,20.815278994568487,4.562376463485722,-17.72845837471556
